Station ID,Latitude,Longitude,Address,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency,Is24Hours,IsHighPower
EVS00002,37.861857,-122.490299,"8970 San Francisco Ave, San Francisco",DC,0.190000,00:00-24:00,4.960000,83,EVgo,350,"['Tesla', 'Type 2']",2010,Yes,3.900000,2,Monthly,True,True
EVS00003,13.776092,100.412776,"5974 Bangkok Ave, Bangkok",L2,0.480000,6:00-22:00,8.540000,24,ChargePoint,50,"['Type 2', 'CCS']",2019,No,3.600000,9,Annually,False,False
EVS00004,43.628250,-79.468935,"6995 Toronto Ave, Toronto",L1,0.410000,9:00-18:00,13.280000,70,Greenlots,350,['Type 2'],2010,Yes,4.200000,7,Monthly,False,True
EVS00005,19.119865,72.913368,"5704 Mumbai Ave, Mumbai",L2,0.110000,9:00-18:00,9.760000,19,EVgo,350,['CCS'],2015,Yes,3.700000,6,Annually,False,True
EVS00006,-23.695008,-46.548187,"1545 São Paulo Ave, São Paulo",L2,0.220000,6:00-22:00,2.020000,39,Ionity,350,['Tesla'],2016,Yes,3.200000,9,Quarterly,False,True
EVS00007,55.762409,37.655830,"1390 Moscow Ave, Moscow",L1,0.400000,00:00-24:00,2.680000,89,ChargePoint,350,"['Tesla', 'CCS']",2011,Yes,4.000000,4,Annually,True,True
EVS00008,13.715561,100.561468,"7684 Bangkok Ave, Bangkok",L2,0.260000,00:00-24:00,3.630000,72,Ionity,350,['Tesla'],2013,Yes,4.300000,9,Annually,True,True
EVS00009,41.807653,-87.755349,"6203 Chicago Ave, Chicago",L2,0.490000,9:00-18:00,6.680000,68,Greenlots,350,['CCS'],2013,No,3.400000,1,Monthly,False,True
EVS00010,39.968701,116.433865,"4339 Beijing Ave, Beijing",L2,0.370000,9:00-18:00,19.130000,82,Tesla,150,"['CCS', 'Tesla']",2023,No,4.400000,5,Quarterly,False,True
EVS00012,55.819370,37.543245,"3932 Moscow Ave, Moscow",L1,0.170000,6:00-22:00,1.880000,18,Greenlots,150,"['CHAdeMO', 'CCS']",2016,Yes,4.000000,5,Annually,False,True
EVS00013,52.506967,13.345088,"9250 Berlin Ave, Berlin",L1,0.160000,9:00-18:00,11.770000,73,ChargePoint,22,['Tesla'],2012,No,4.000000,2,Quarterly,False,False
EVS00014,41.847035,-87.670005,"9047 Chicago Ave, Chicago",L2,0.160000,00:00-24:00,3.210000,66,Tesla,50,['Tesla'],2012,Yes,3.500000,9,Annually,True,False
EVS00015,25.392096,55.286180,"3451 Dubai Ave, Dubai",L2,0.410000,00:00-24:00,16.700000,46,EVgo,350,"['CCS', 'Tesla']",2013,Yes,3.400000,10,Quarterly,True,True
EVS00016,25.335831,55.227629,"3518 Dubai Ave, Dubai",L2,0.340000,6:00-22:00,15.840000,89,EVgo,22,['CCS'],2020,No,3.900000,9,Quarterly,False,False
EVS00017,13.877602,100.508728,"3181 Bangkok Ave, Bangkok",L1,0.170000,6:00-22:00,13.180000,28,Ionity,350,"['CCS', 'CHAdeMO']",2018,No,4.000000,3,Annually,False,True
EVS00018,37.790361,-122.378324,"4733 San Francisco Ave, San Francisco",L1,0.440000,00:00-24:00,2.050000,60,ChargePoint,150,['CHAdeMO'],2023,No,4.900000,7,Annually,True,True
EVS00019,37.695636,127.050246,"9257 Seoul Ave, Seoul",L1,0.250000,9:00-18:00,7.350000,29,Tesla,350,"['Type 2', 'CHAdeMO']",2017,No,4.100000,2,Monthly,False,True
EVS00020,19.519719,-99.171733,"7288 Mexico City Ave, Mexico City",DC,0.250000,6:00-22:00,0.730000,12,Tesla,350,['Type 2'],2023,Yes,3.200000,5,Annually,False,True
EVS00022,55.738402,37.675763,"9338 Moscow Ave, Moscow",L2,0.100000,00:00-24:00,5.450000,47,Tesla,350,['CCS'],2020,No,4.700000,5,Quarterly,True,True
EVS00023,-33.826489,18.541960,"1194 Cape Town Ave, Cape Town",L2,0.430000,9:00-18:00,15.050000,14,Greenlots,350,"['CHAdeMO', 'Tesla']",2020,Yes,4.200000,10,Annually,False,True
EVS00024,52.431280,13.407406,"128 Berlin Ave, Berlin",DC,0.210000,00:00-24:00,9.920000,52,Tesla,22,['CHAdeMO'],2023,Yes,4.400000,2,Annually,True,False
